,marginal_conversions_t1,marginal_spend_t1,marginal_CAC_t1,marginal_conversions_t2,marginal_spend_t2,marginal_CAC_t2,marginal_conversions_t3,marginal_spend_t3,marginal_CAC_t3
paid_search,128.0499999999999,999.9999999999999,7.809449433814922,109.76666666666722,1000.0000000000001,9.110233829334907,101.18333333333163,1000.0,9.883050568275573
email,251.13333333333378,1000.0,3.9819485001327246,191.38333333332992,1000.0,5.225115387964911,138.93333333333544,1000.0,7.197696737044037
referral,1517.1000000000015,1000.0,0.6591523301034863,1139.5833333333228,1000.0,0.8775137111517448,633.3666666666572,1000.0,1.5788642703015865
direct,1.9166666666666665,0.0,0.0,0.1499999999999999,0.0,0.0,1.35,0.0,0.0
display,439.2666666666635,1000.0,2.276521475185932,284.81666666667326,1000.0,3.511030487447985,122.03333333333853,1000.0,8.19448238186253
social,484.5833333333294,1000.0000000000001,2.063628546861582,337.7833333333432,999.9999999999999,2.9604776237232073,172.8666666666719,1000.0,5.784805244889913
organic_search,1.9499999999999997,0.0,0.0,4.516666666666666,0.0,0.0,1.2666666666666666,0.0,0.0
